file_name,title,description,keywords,url,dataset_name
oceanographic-profile-temperature-salinity-and-oth_55a8dde3-e876-4445-b2c0-3536dad42cb0.json,Contact | National Centers for Environmental Information (NCEI),"Climate and Past Weather *For up-to-date forecasts and current weather, please visit the National Weather Service website.",[],,Maritime Data
cloud-amount-frequency-salinity-and-other-data-fro_e625d51d-a8ec-4bd1-aa8e-42626f31e1cb.json,Home - Earthdata Forum,,[],,Maritime Data
multibeam-bathymetry-database-mbbdb2_dc06585a-9aff-4fa1-87bf-562e96cbcea1.json,Home - Earthdata Forum,,[],,Maritime Data
partial-pressure-of-carbon-dioxide-salinity-temper_9d4012f1-23cb-43e4-add5-a790ea9aff7f.json,Home - Earthdata Forum,,[],,Maritime Data
exploring-the-sunken-heritage-of-the-battle-of-mid_0c63bf99-f5eb-47eb-863e-7aaea1056f68.json,Contact | National Centers for Environmental Information (NCEI),"Climate and Past Weather *For up-to-date forecasts and current weather, please visit the National Weather Service website.",[],,Maritime Data
piston-2018-research-vessel-rv-thompson-ship-datas_3c1dd621-46e3-4894-a8c1-9af39bec7c3d.json,Sub-Orbital Order Tool (SOOT) Browse Interface,Sub-Orbital Order Tool (SOOT) provides a modern user interface that streamlines data discovery and accessibility of airborne field campaigns archived at the ASDC.,[],,AIS Vessel Tracking
conductivity-temperature-and-depth-ctd-data-from-k_03925e92-9849-4e59-bcac-9e13311bbc7a.json,Home - Earthdata Forum,,[],,Maritime Data
international-comprehensive-ocean-atmosphere-data-_13b41e48-98dc-42e3-9ed7-51c86dae36e5.json,"International Comprehensive Ocean-Atmosphere Data Set (ICOADS) Release 3.0 Final, Individual Reports in the International Maritime Meteorological Archive Format version 1 (IMMA1)","International Comprehensive Ocean-Atmosphere Data Set (ICOADS) Release 3.0 Final, Individual Reports in the International Maritime Meteorological Archive Format version 1 (IMMA1) (format: HTML)",[],,Maritime Data
piston-2018-2019-autonomous-platform-ocean-dataset_db1af2fe-21e5-49cf-9ceb-27a8ffea6beb.json,Sub-Orbital Order Tool (SOOT) Browse Interface,Sub-Orbital Order Tool (SOOT) provides a modern user interface that streamlines data discovery and accessibility of airborne field campaigns archived at the ASDC.,[],,Maritime Data
physical-chemical-and-other-data-from-bottle-xbt-a_d49329aa-f824-446c-bc0a-501eb096cd64.json,Contact | National Centers for Environmental Information (NCEI),"Climate and Past Weather *For up-to-date forecasts and current weather, please visit the National Weather Service website.",[],,Maritime Data
a-comprehensive-global-oceanic-dataset-of-discrete_6eb5dd9d-74b1-4804-9be9-5cc40021c26a.json,Home - Earthdata Forum,,[],,Maritime Data
piston-2019-research-vessel-rv-sally-ride-data-cf4_d684c7df-7f38-43bf-81ce-b90d511eb3f2.json,ASDC | Citing ASDC Data,,[],,AIS Vessel Tracking
compilation-of-geospatial-data-gis-for-the-mineral_f3fc6984-54dd-43bc-a407-1e1f37dd8160.json,Compilation of Geospatial Data (GIS) for the Mineral Industries and Related Infrastructure of Select Countries in Southwest Asia - ScienceBase-Catalog,"The U.S. Geological Survey (USGS) has compiled a geodatabase containing mineral-related geospatial data for 10 countries of interest in Southwest Asia (area of study): Afghanistan, Cambodia, Laos, India, Indonesia, Iran, Nepal, North Korea, Pakistan, and Thailand. The data can be used in analyses of the extractive fuel and nonfuel mineral industries and related economic and physical infrastructure integral for the successful operation of the mineral industries within the area of study as well as the movement of mineral products across domestic and global markets. This geodatabase reflects the USGS ongoing commitment to its mission of understanding the nature and distribution of global mineral commodity supply chains by updating and publishing the georeferenced locations of mineral commodity production and processing facilities, mineral exploration and development sites, and mineral commodity exporting ports for the countries in the area of study. The geodatabase contains data feature classes from USGS, foreign governmental, and open-source sources as follows: (1) mineral production and processing facilities, (2) mineral exploration and development sites, (3) mineral occurrence sites and deposits, (4) undiscovered mineral resource tracts for copper, phosphate, and potash, (5) coal occurrence areas, (6) electric power generating facilities, (7) electric power transmission lines, (8) liquefied natural gas terminals, (9) undiscovered, technically recoverable conventional and continuous hydrocarbon resources (by USGS geologic province), (10) cumulative production and recoverable conventional resources (by oil- and gas-producing nation), and (11) major mineral exporting maritime ports.",[],,Maritime Data
living-shipwrecks-3d-water-column-data-in-southeas_9da0a163-01c1-47ad-98af-54d46b5c8a8a.json,Home - Earthdata Forum,,[],,Maritime Data
beta-intermodal-freight-facilities-liquid-bulk_147753e2-acce-4f39-8376-bad6bf33d55b.json,BETA - Intermodal Freight Facilities Liquid Bulk,"The Intermodal Freight Facilities - Liquid Bulk dataset is currently in its BETA release and has yet to be finalized. The preliminary data can be used to understand the intermodal connections for freight transfer and may be used for analysis, spatial mapping, and transportation modeling. Locations of facilities are represented by polygon features and attributes pertinent to the Liquid Bulk Intermodal industry.",[],,Maritime Data
shipping-fairways-lanes-and-zones-for-us-waters1_7dc02f37-fbbe-49ba-83a9-0aa40e0253ac.json,Home - Earthdata Forum,,[],,Maritime Shipping
piston-2018-research-vessel-rv-mirai-ship-data-038_3c532a98-edbf-49fe-beec-1ce7bed09f98.json,Earthdata Login,Earthdata Login,[],,AIS Vessel Tracking
ais-vessel-tracks-2024_74e54200-f86c-43ef-b197-a3715f3c2f5a.json,AIS Vessel Tracks 2024 | InPort,A vessel track shows the location and characteristics of commercial and recreational boats as a sequence of positions transmitted by an Automatic Identificat...,[],,AIS Vessel Tracking
international-comprehensive-ocean-atmosphere-data-_7d771943-2133-4c74-b70d-7a1765e02dfe.json,International Comprehensive Ocean-Atmosphere Data Set (ICOADS) | National Centers for Environmental Information (NCEI),,[],,Maritime Data
us-voluntary-observing-ship-vos-international-mari_2741c592-63d6-4464-98f2-a5482e71e88a.json,Dataset Overview | National Centers for Environmental Information (NCEI),,[],,Maritime Data
piston-2019-research-vessel-rv-sally-ride-data-cf4_872c742b-f8c8-4e83-bda2-8b4b888d694c.json,Sub-Orbital Order Tool (SOOT) Browse Interface,Sub-Orbital Order Tool (SOOT) provides a modern user interface that streamlines data discovery and accessibility of airborne field campaigns archived at the ASDC.,[],,AIS Vessel Tracking
conductivity-temperature-and-depth-ctd-data-from-k_f6c1a8b7-d424-4229-8244-1c7da938cadb.json,Home - Earthdata Forum,,[],,Maritime Data
marine-highways1_4ddf84a3-6811-4f6b-99f6-41cc5fd89842.json,Layer: Marine Highways (ID:0),,[],,Maritime Data
a-comprehensive-global-oceanic-dataset-of-discrete_1cafe5af-68cc-4928-8de5-bdbbff0ea51e.json,prd OAS: Download accessions,,[],,Maritime Data
multibeam-bathymetry-database-mbbdb2_9938c13d-c79e-4c80-84ac-b3de382d6ece.json,Home - Earthdata Forum,,[],,Maritime Data
piston-2018-research-vessel-rv-thompson-ship-datas_c316b6e0-f612-4482-9161-6fd0083aff56.json,Earthdata Search,"Search, discover, visualize, refine, and access NASA Earth Observation data in your browser with Earthdata Search",[],,AIS Vessel Tracking
a-comprehensive-global-oceanic-dataset-of-discrete_c7b7e956-6768-49b8-a153-a1f0fe0621ab.json,Contact | National Centers for Environmental Information (NCEI),"Climate and Past Weather *For up-to-date forecasts and current weather, please visit the National Weather Service website.",[],,Maritime Data
partial-pressure-of-carbon-dioxide-salinity-temper_0c7a30de-8054-48f0-89ff-bb4bc4c347e1.json,Ocean Carbon and Acidification Data System (OCADS) | National Centers for Environmental Information (NCEI),The Ocean Carbon and Acidification Data System (OCADS) is a data management system specializing in the management of ocean carbon and ocean acidification (OA) data within NCEI. See the OCADS Paper in Nature for more information.,[],,Maritime Data
noaa-electronic-navigational-charts-enc1_5503dd9b-7846-44f2-91a4-41c48b7d7f48.json,Home - Earthdata Forum,,[],,Maritime Data
partial-pressure-of-carbon-dioxide-salinity-temper_08063f8d-fe87-40b9-b809-f32ab608fbea.json,Home - Earthdata Forum,,[],,Maritime Data
